date,label,bow_vector
2025-11-24 23:03:34,bbc,4842:3 1791:1 6533:6 5399:7 120:2 6860:2 557:1 313:1 3244:1 1054:6 7112:5 3340:1 5942:2 3540:1 4218:1 7129:1 2382:1 4674:1 859:3 6572:2 3566:2 3934:2 4168:1 4056:2 119:1 5825:2 3480:2 1737:2 5032:1 3280:1 3107:1 6460:3 5372:2 3236:2 6595:2 2278:2 6195:6 40:1 1046:8 2397:1 4005:1 5158:2 2185:1 6032:1 7107:1 6538:2 5781:2 4790:2 4199:1 111:1 5160:1 5948:2 1378:2 3412:2 4044:1 4082:1 2422:1 5286:1 1711:1 518:1 2053:1 5231:1 4127:1 576:1 829:1 4341:1 6529:1 6221:4 6752:5 1560:1 1481:1 2764:1 131:1 1569:1 2372:1 5170:1 2638:2 444:1 5689:1 1051:1 2568:1 3804:1 5961:1 4787:1 6475:1 6967:1 783:1 3220:2 1209:1 4962:1 462:2 6346:1 67:2 1602:1 4706:1 3232:1 3541:1 5342:1 5042:1 1881:1 2168:1 1323:1 7001:1 2969:1 4844:1 5491:1 3398:1 3579:1 4048:1 3537:1 2967:1 2379:1 4721:1 6982:1 5501:1 2269:1 6940:1 779:1 6427:1 6410:1 5250:1 2076:1 6858:1 4797:1 4418:1 3311:2 171:1 3729:1 6010:1 202:1 5834:1 5515:1 1876:1 3312:2 4861:1 4004:1 5419:1 6198:1 406:1 1365:1 2392:1 3980:1 5233:1 2973:1 3920:1 201:1 2580:1 2612:1 4855:1 6409:1 6893:1 1163:1
2025-11-23 23:11:13,bbc,5399:6 120:1 5942:1 7129:6 2382:2 859:1 6572:1 119:1 5825:2 3480:2 3107:1 6460:2 6195:4 1046:1 2397:2 5158:1 2185:1 5781:1 4199:3 1378:4 3412:1 4044:1 4341:1 6752:2 1481:1 2764:2 2568:1 783:2 3220:1 4962:1 462:3 4706:2 1323:1 4844:1 2379:1 5501:1 6410:1 2076:1 3311:21 1876:1 3312:1 1365:2 4855:1 6409:3 3272:4 2931:9 3721:2 122:1 4806:1 3239:3 615:2 6555:3 2617:9 2983:1 80:3 5524:9 1500:1 4889:7 1191:4 4283:1 3800:1 7038:1 7061:1 5721:1 5228:1 3027:1 2284:1 6096:1 2289:1 661:1 489:1 3552:1 4774:1 6103:1 1532:2 1403:1 4773:1 54:2 805:7 2207:2 5214:4 965:1 6685:3 6248:5 4552:1 684:1 3137:5 4973:2 408:1 5075:1 1061:4 885:1 5217:1 1904:3 2515:1 3707:5 5441:6 592:2 940:1 6445:1 3503:1 6315:1 2103:2 2625:1 3578:2 2648:11 6077:1 259:1 5676:1 6781:2 550:1 541:2 1307:1 673:8 5008:2 6117:4 7082:4 1244:1 1059:18 2845:1 5040:11 3692:1 1213:10 607:2 1350:1 6454:1 5788:1 5815:1 704:1 4562:2 3024:2 5026:3 1785:1 2325:2 1483:2 2430:1 1552:2 3869:1 2192:4 5752:1 1092:1 1064:3 5508:1 3708:1 969:1 405:1 3473:8 4746:4 6929:1 1941:1 3161:2 4160:1 538:1 4087:7 4473:1 1643:2 1228:1 1389:1 2675:1 2809:1 3520:1 533:1 429:1 185:6 2340:1 5137:2 3755:1 5296:2 1883:1 1217:1 4799:1 5708:1 3426:2 3978:1 867:1 1611:1 6602:1 3688:1 2097:1 6183:1 1866:1 372:2 2905:1 3784:1 2869:2 768:1 39:2 7136:1 6079:2 4890:11 4936:2 4144:1 4248:7 6480:1 6601:1 1909:3 175:1 1666:1 5365:1 2248:3 1917:1 2260:1 5300:2 3811:1 6541:8 5417:5 3204:2 4971:1 3573:1 6005:1 6078:1 3840:4 6385:3 6700:1 5859:3 1414:1 46:3 745:1 6375:1 51:1 4175:3 3623:1 62:1 1263:1 6457:1 3866:3 983:4 7139:1 4989:1 6143:1 3116:2 1223:2 3854:2 329:1 124:1 2124:1 3810:2 2892:1 1361:1 6246:1 1612:2 5197:1 363:1 3786:1 4349:2 2900:1 187:1 5081:2 6068:3 1289:1 3912:1 1321:3 2503:2 2306:1 2218:1 5633:1 2148:1 6513:1 7135:1 5937:2 964:1 5495:4 6049:1 1451:1 2153:2 1526:1 3127:1 10:2 33:1 60:1 3468:1 2004:1 5211:1 3040:1 2308:1 1478:2 3880:2 2078:2 838:1 4198:1 4803:1 4050:2 1875:1 3530:1 1204:1 5156:1 2706:1 1788:4 2560:1 3790:2 3539:1 6727:1 4501:1 352:1 3206:1 126:2 6120:3 5041:2 2146:2 1565:1 2416:1 6402:1 3831:2 6764:1 6276:2 4145:1 7148:2 4897:1 1974:1 3413:1 3739:1 5914:1 6944:1 6691:1 2211:1 6153:1 3919:1 991:1 4154:3 6683:1 5263:3 3734:1 3529:1 4775:1 5651:1 4313:1 1937:2 1093:1 1315:1 6130:2 1660:1 803:2 5747:1 2714:1 6329:1 2628:1 6969:1 5900:1 442:1 1913:1 4893:1 2197:1 5563:1 5634:1 2014:1 2080:1 4618:1 4561:1 4430:1 6471:1 7076:2 5163:2 2854:1 4956:1 1990:1 3751:1 184:1 416:2 3808:1 4717:3 3489:1 5831:1 3497:2 5672:1 5970:1 3508:1 554:2 6479:1 1905:1 6118:2 6890:1 3565:2 5554:1 1664:2 6011:1 297:1 4716:1 2036:2 1907:3 6272:1 5487:1 4710:1 1855:1 548:1 2002:1 3662:2 3453:2 6435:2 2593:1 2145:1 7142:1 3457:1 808:1 4374:2 3269:1 3893:1 5320:1 4350:1 4943:2 1426:1 2443:1 209:1 3916:1 3952:1 2712:1 2200:3 2920:1 7143:1 5496:1 5682:1 2056:1 1944:1 4396:1 2405:1 7074:1 6404:1 5520:1 7093:1 4141:1 6088:1 9:1 1224:1 5044:1 1222:1 1712:1 1137:1 1610:1 6348:1 2431:1 283:1 1959:1 2605:1 5292:1 436:1 5982:1 5098:1 4525:1 5621:1 5164:1 5824:1 979:1 5048:1 3873:1 2313:1 4869:1 1960:1 5082:1 2462:1 2579:1 1251:1 341:1 6955:1 4805:2 2680:1 6782:1 2904:1 2531:1 784:1 6244:1 220:1 585:1 989:1 2411:1
2025-12-05 04:56:16,bbc,5399:3 557:1 1054:3 5942:1 7129:3 2382:1 859:1 6195:5 40:1 1046:2 5781:2 6752:1 5689:1 4706:1 1323:1 3537:1 5250:1 4418:1 4004:1 2392:1 3272:1 1191:1 3707:3 5441:2 2648:1 533:2 429:1 185:1 5296:1 6385:1 46:1 5197:2 4349:1 5495:2 33:3 1788:1 2211:1 2197:1 5554:1 1855:1 4374:1 4943:1 2712:1 6348:1 1251:2 655:2 4776:2 3899:3 294:8 5109:1 7113:4 4389:1 5627:2 5445:1 1420:1 3240:1 819:1 6367:1 1657:1 2446:2 920:2 6436:1 3738:1 7092:1 4307:1 6383:1 4714:2 809:1 2262:1 3221:1 98:1 3576:1 3988:2 6759:5 1304:1 6196:1 1199:1 1014:1 5645:1 3723:1 3192:1 1751:1 3932:1 6613:1 5237:1 488:2 5843:1 3906:1 1523:1 5922:1 4975:1 4400:1 5232:1 5142:2 5209:1 6064:1 3087:1 1488:1 3894:1 6194:1 5006:1 3218:1 3547:1 2999:1 7085:1 2074:1 367:1 6760:1 2694:1 208:1 6266:1 6758:2 1459:1 2256:1 6837:1 5890:1 1741:1 2105:1 5360:1 2626:1 4845:1 5544:1 6022:1 4964:1 2323:1 707:1
2025-11-10 03:16:42,bbc,5399:1 5942:1 3540:1 7129:2 6572:3 4168:1 5825:1 6195:1 40:1 1046:1 6032:2 111:1 1378:6 4082:1 1481:2 2764:1 2638:2 1209:1 2969:1 4048:1 3537:1 2967:1 5501:1 2269:1 6410:2 2076:1 1876:3 2973:1 6893:1 3272:2 1191:1 3800:1 1532:1 54:1 805:2 3707:2 3578:1 2648:2 7082:1 1092:1 3708:1 6929:1 533:1 429:1 185:1 5137:1 5296:2 4799:1 867:1 1611:1 6183:1 6385:1 5859:1 3623:1 329:2 5197:2 4349:1 2503:1 2148:2 5495:1 33:1 3790:3 3831:1 991:2 3529:1 4775:1 4313:2 6130:1 5563:1 4618:6 4430:1 3565:1 5554:2 297:1 4374:3 4350:1 5496:1 2405:2 1712:1 1137:1 2431:1 2605:1 5982:2 3873:1 4805:3 655:1 3899:1 98:1 3576:1 3988:1 2999:1 7085:1 6943:3 6583:10 2507:6 4563:1 5478:2 2829:1 1536:4 4668:8 4823:1 2099:1 3516:2 6102:1 6105:1 914:1 7029:6 3462:2 4086:2 2739:1 2924:2 425:3 4944:1 3780:2 2624:1 6003:3 3391:4 3587:2 3614:1 1504:3 6338:1 2366:3 1533:1 2974:1 4234:1 1687:2 4725:1 4834:2 4853:1 5192:1 928:1 966:2 6958:1 3938:1 6918:1 1652:2 2889:2 3657:1 3208:1 2360:1 876:1 5219:1 3760:1 1154:2 6747:1 2893:2 2708:1 5601:1 4540:1 794:2 7151:3 1044:2 5173:1 2760:1 3439:1 6041:1 2274:1 7086:1 6018:1 6326:1 3326:1 7182:1 257:2 2100:1 4581:1 459:1 7064:1 2362:1 3694:1 1686:1 5393:1 4854:1 4999:1 1545:1 1096:1 1587:1 4636:1 1846:1 7058:1 2427:1 1548:1 933:1 3170:1 4182:1 3274:1 5234:1 5304:1 760:1 6451:1 4090:1 2300:1 1564:1 854:1 1973:1 2251:1 6035:1 4021:1 2332:1 6836:1 6741:1 6499:1 6431:1 5330:1 5756:1 7030:1 4166:1 4499:1 4338:2 6524:2 6950:1 6887:1 1491:3 2109:1 1130:2 6339:1 3114:1 3009:1 6915:2 1382:1 399:1 2485:1 2853:1 5023:1 2681:1
2025-12-01 08:17:32,bbc,5399:1 557:3 1054:6 5942:2 859:2 6572:3 3566:1 4056:1 119:1 3107:1 6195:3 40:1 1046:3 2397:1 4005:1 2185:1 7107:7 5781:3 4790:2 5160:1 5948:1 1378:1 4082:1 5286:1 4341:1 5689:1 4048:2 3537:1 2269:1 6410:1 3311:4 5515:1 3312:6 4861:1 4004:1 5419:1 6198:2 406:1 1365:2 2392:2 3980:1 2973:1 201:1 2580:1 2612:1 6409:1 6555:1 1191:1 2284:2 4773:2 4552:4 408:1 3707:1 5441:1 1213:2 2325:1 4746:1 533:1 429:1 185:4 5137:1 1217:1 2869:1 175:1 6385:1 124:1 5197:1 3912:1 3790:1 1565:1 4154:1 6683:1 3529:1 1093:1 5563:1 4618:4 4374:2 1426:2 6088:2 5982:1 4805:1 4776:1 3899:5 4389:1 4714:1 98:1 3576:1 6759:2 5843:1 3906:1 5232:1 367:1 6758:1 6837:1 5360:1 6958:1 876:4 3694:1 760:2 18:1 4120:4 2104:4 5580:4 3965:1 5814:1 5841:1 214:1 2230:3 5356:1 3812:1 4432:4 2765:1 6306:1 2463:3 3659:1 6975:3 5370:1 5910:1 1416:1 5432:1 5929:1 457:1 2770:2 4625:6 1995:2 5483:2 5907:1 4422:3 455:1 1252:2 1091:1 3807:1 2283:1 5171:1 4995:1 4550:1 3470:1 6866:1 57:1 6200:3 56:1 6287:1 5252:1 5664:2 3713:1 4933:1 5283:1 1499:2 3822:1 417:1 3224:1 6614:1 1090:1 4558:1 4882:1 5909:2 3449:1 5541:1 3228:1 3876:1 6350:1 6067:1 1239:1 1286:1 6793:1 2206:1 3496:1 4210:1 5053:1 2032:2 490:1 4140:1 371:3 3103:2 1262:1 5881:1 1006:1 3914:2 5656:1 2409:1 2978:2 3341:2 1210:1 4553:1 6849:1 6960:1 4088:1 2606:2 6497:1 45:1 454:1 2452:1 2021:1 1460:1 5420:1 6984:1 5847:1 6448:1 5058:1 7104:1 1798:3 902:1 421:1 7116:1 6963:2 3352:1 1328:1 6532:1 5141:1 882:1 3676:1 3366:1 5996:2 564:1 3813:1 565:1 2932:1 1330:1 4155:1 5538:1 4702:1 1710:2 5348:2 2634:1 7004:1 243:1 6444:2 6083:1 3030:1 307:1 2223:1 2426:1 3189:1 6038:1 563:1 1276:1 6906:1 1408:1 254:1 248:1 2302:1 211:1
2025-11-18 03:46:10,bbc,5399:2 557:4 1054:3 5942:1 7129:1 2382:1 6572:1 4056:2 3107:2 6195:3 40:1 1046:8 6032:1 5160:6 3412:1 1560:1 5689:1 1602:2 5501:1 6410:2 3311:2 1876:1 3312:5 6198:3 406:1 1365:2 2392:2 3980:1 5233:1 6409:1 3721:1 1191:1 4552:1 5441:1 6445:1 2648:1 2325:1 533:2 185:1 5137:1 5296:1 3426:1 46:1 187:1 6049:1 6120:1 3831:1 4154:1 6683:1 1093:1 442:1 2197:1 1855:1 1426:1 7074:2 6088:1 5982:1 5824:1 5082:1 4776:1 3899:3 3576:1 1304:1 6196:1 6758:2 6837:1 5360:1 2626:1 6105:2 2924:1 4944:1 6958:1 6747:1 7151:1 6326:1 3694:1 1564:1 214:2 1091:1 5171:1 4550:1 6866:1 57:1 6200:1 56:2 5252:1 5541:1 3876:1 1210:1 421:2 5538:1 5348:1 248:2 2302:5 211:1 4794:3 1754:1 959:3 1407:2 5610:2 4084:3 2962:2 5864:2 3400:2 1509:2 953:3 1085:1 6371:1 1618:2 5733:2 3152:2 927:2 1266:1 5404:1 2219:1 1575:1 4484:1 5266:1 2352:1 741:1 4125:1 3802:1 1762:2 3080:1 5072:1 4457:1 4446:1 1192:1 82:1 719:1 2465:1 516:1 3829:1 2989:1 659:1 2295:1 6854:1 5945:1 4443:1 1756:1 2597:1 6405:1 4301:1 530:1 1295:1 6144:1 5709:1 448:1 6490:1 6048:1 5093:1 5397:1 3243:1 6964:1 3069:1 177:1 6861:1 4242:1 1285:1 5956:1 5005:1 4183:1 3120:1
2025-11-17 06:32:19,bbc,5399:2 6860:1 557:5 1054:5 7129:1 859:1 3566:1 4056:1 5825:1 3107:1 6195:5 40:1 1046:6 5158:1 111:1 1378:2 4082:1 5286:1 1711:1 4127:1 5170:1 3804:1 783:1 6346:2 5491:1 4048:1 3537:1 6410:1 3311:9 171:1 3312:7 4861:1 4004:1 5419:1 6198:2 406:3 1365:2 2392:3 3980:2 6409:5 3272:1 2617:1 5228:1 1532:2 4552:2 6445:1 2648:2 1213:3 185:4 5137:1 3755:2 5296:1 867:1 5365:1 46:1 187:1 2218:1 2148:1 5495:2 6049:1 3831:1 4154:1 6683:1 1093:1 1913:1 4618:1 4956:1 184:1 2002:1 3662:1 4350:1 1426:1 6088:2 1137:2 5292:1 5824:1 979:3 5082:1 6196:1 5232:1 6758:2 2256:1 2105:1 5360:1 6102:2 2924:1 2360:1 6747:1 4540:1 6326:1 1564:1 214:1 6306:1 1091:1 4550:1 6866:1 57:1 6200:1 56:1 5541:1 3876:1 3496:1 4210:1 6960:1 2932:2 5348:1 1754:1 1266:1 1575:1 516:1 4301:1 530:1 1295:1 6144:2 5709:4 6048:2 5093:1 5397:1 177:1 1285:1 5956:1 5005:1 4183:1 3120:1 5986:1 5157:1 5240:1 2272:2 3709:1 5584:4 1627:2 5999:2 2798:1 4026:1 3267:1 4731:1 6972:1 729:1 1357:1 5620:1 5588:1 1287:1 5033:1 6426:1 6446:1 6199:1 4493:1 2244:1 6680:1 915:1 138:4 217:1 4423:1 3515:1 4547:1 1746:1 4856:1 1419:1 6220:1 4052:1 2026:1 3195:1 6142:1 5828:1 1893:1 133:1 4347:1 5128:1 3593:1 6281:1 3554:1 5120:1 338:1 4840:1 2142:1 5512:2 6739:1 3646:1 3461:1 3975:1 1140:1 4760:1 4961:1 5875:1 6993:1 2137:1 6206:1 6543:1 1037:1 848:1 4006:1 3437:1 3670:1 4912:1 574:1 5904:1
2025-12-02 07:26:10,bbc,5399:4 557:2 1054:5 5942:1 3540:1 7129:2 859:1 6572:2 3566:1 4056:1 3280:1 6195:4 40:1 1046:11 1378:2 5286:1 5689:1 3537:3 2967:2 5501:1 3311:8 5515:1 3312:4 4861:1 4004:1 5419:1 6198:1 406:1 1365:1 2392:1 3980:1 6409:2 3272:9 1191:1 1532:1 4552:1 408:1 5441:1 3578:1 2648:1 3708:1 6929:7 185:1 5137:1 6385:1 62:1 1612:1 5197:1 1875:1 3790:2 6276:1 4313:3 1093:1 6329:1 297:1 3893:1 1426:1 6088:1 2579:1 3899:1 98:1 1199:1 4400:2 5232:1 3894:1 6758:1 6837:1 5360:1 5478:2 2924:1 3587:1 6918:1 2889:1 6747:1 4166:1 3114:1 2104:1 4995:1 4550:1 3470:1 6866:1 57:1 6200:1 56:1 6287:6 5252:1 5664:1 5283:1 1499:1 5541:1 5881:1 2606:1 6448:2 5996:1 4301:2 5397:1 4347:1 3554:2 3461:1 6543:4 1153:7 2718:7 1692:2 41:2 1270:2 4336:1 2711:1 5533:1 1890:2 2329:4 6814:6 3047:2 2030:4 1681:2 5529:2 1101:2 1647:1 72:1 3212:1 2150:1 5614:3 309:3 1324:1 2013:1 3115:1 2961:1 5270:1 7010:1 3650:1 5830:1 952:5 3693:2 1600:1 677:2 1513:1 6423:1 4173:1 2012:1 3062:1 55:1 3162:1 4948:1 3318:2 5742:1 5638:1 4584:2 2028:1 3178:1 121:1 3354:1 2164:1 5230:1 6936:1 2069:1 4570:1 1553:1 5530:2 6675:1 5536:1 6291:1 5227:1 1588:1 5886:1 5095:2 1279:1 4868:1 4064:1 6140:1 1261:2 1641:1 6738:1 3214:1
2025-11-18 09:54:37,bbc,5399:4 557:7 1054:9 5942:2 7129:1 2382:1 859:1 6572:3 3566:2 3934:1 4056:2 5825:1 3480:1 1737:1 3280:2 3236:3 6195:16 1046:23 2397:5 4005:5 5781:2 4790:3 5160:2 1378:3 6752:3 1481:1 5170:1 5689:2 2568:1 3804:1 4787:3 3220:1 462:2 6346:3 4844:1 5491:1 4048:1 3537:1 6410:2 3311:27 171:2 3729:2 6010:2 202:3 5834:1 5515:2 1876:2 3312:10 4861:4 4004:4 5419:1 6198:13 406:2 1365:5 2392:5 3980:2 5233:1 2973:1 3920:1 201:1 4855:1 6409:1 3272:2 3721:2 6555:1 1532:1 4552:2 3137:1 1904:1 2515:1 5441:1 592:1 6445:2 2103:1 3578:1 2648:2 7082:1 5026:1 1552:1 1092:1 429:1 185:6 5137:1 5296:1 7136:1 4971:1 4175:2 62:5 983:1 124:1 1612:1 5197:1 5495:2 3880:3 2706:1 1788:1 3790:1 3539:1 6120:3 1565:1 6276:2 2211:1 991:1 1093:3 2197:1 4956:1 3893:1 4350:4 2405:1 7093:7 6088:2 5082:4 4776:1 3899:4 3576:1 3988:1 6196:1 1199:4 3906:2 5232:3 6194:1 2074:1 6758:2 5360:1 2829:1 2924:1 6958:2 6918:2 2360:1 6747:3 794:1 6326:1 5393:1 1587:2 4166:1 2109:1 3114:1 2104:2 5841:1 1091:1 5171:8 57:1 6200:4 56:1 6287:1 3713:3 4933:2 1090:1 3876:2 4210:1 371:1 5881:1 2409:1 45:1 902:1 421:1 5996:3 5538:1 1710:1 5348:1 2634:1 248:1 2302:1 4794:1 953:1 1085:1 6371:1 1618:1 5733:1 3152:1 927:1 5404:1 2219:1 4125:1 1762:1 4301:1 530:1 1295:1 6144:3 5709:5 448:3 6490:2 6861:1 5956:1 3120:1 5986:1 5157:1 5240:1 3709:1 1287:1 138:1 4347:1 5128:1 3593:1 6281:1 3554:1 5120:1 338:2 2142:1 5512:2 3646:1 1037:1 848:1 4006:1 3437:1 3670:1 1101:1 3062:1 55:1 4948:1 2069:1 5227:1 1588:3 5886:1 6140:1 1641:1 3214:1 5556:1 3223:1 553:1 547:1 6907:2 7073:2 506:2 5549:1 5960:1 5842:1 6439:1 2921:2 249:2 6970:1 2875:1 3467:1 1470:1 4551:2 4405:1 3556:1 1371:1 4785:1 1832:1 3256:1 1920:1 7118:5 3334:2 1299:1 4425:1 5218:1 351:1 1715:1 5976:1 3210:1 1123:1 2899:1 3093:1 127:1 6202:1 1865:1 2128:1 2815:1 5559:1 5246:1 6465:2 4293:1 5852:1 5454:1 2849:1 6098:1 5193:1 4715:1 2316:1 116:1 1515:2 3897:1 1435:1 645:1 5133:1 1542:1 663:1 4597:2 5226:1 310:1 6456:1 5547:1 1267:1 797:1 873:1 1445:1 1586:1 1827:1 3617:1 2922:1 5087:1 2698:1 5820:1 611:1 362:1 4935:1 5613:1 3:1 1283:1 1139:1 6373:2 4723:1 5861:1 151:1 2229:1 2824:1 3731:1 656:1 6347:1 4030:1 6523:1 6440:1 4796:1 6715:1 6846:1 4378:1 4866:1 4675:1 5528:1 5665:1 290:1 6097:1 3852:1 1628:1 2060:1 76:1 4755:1 6776:1 3423:1 2721:1 1661:1 5333:1 2371:1 5919:1 2945:1 1679:1 6584:1 4332:1 5586:1 5078:1 1637:1 6223:1 373:1 180:1 1257:1 1353:1 4024:1 2346:1 3216:2 97:1 3669:1 762:1 6411:1 5670:1 6501:1 5527:1 5542:1 1345:1 5251:1
2025-11-26 07:30:38,bbc,5399:8 120:1 557:2 1054:5 5942:2 7129:2 859:4 5825:1 3280:3 3107:1 40:1 1046:10 2397:3 4005:2 111:2 5160:1 5948:2 1378:2 5286:1 3220:1 1323:2 3537:1 2967:3 6410:2 3311:1 1876:1 4004:1 2973:1 4552:2 5441:2 2103:1 2648:1 6781:1 5026:1 1552:1 4087:1 1228:1 429:3 185:1 5137:2 867:1 2869:1 175:1 6385:2 62:2 2218:1 5937:1 2153:1 10:1 60:1 3790:1 6276:2 4154:2 1093:1 2197:1 5563:2 5970:1 3662:1 4350:3 4943:1 2200:1 7074:1 5982:1 5824:1 1304:1 1014:1 5142:2 3894:1 914:1 3694:2 5234:1 2485:1 5580:4 2463:1 4995:1 56:2 6287:3 5664:1 3713:1 4933:1 4210:2 371:1 5881:2 4088:7 6448:1 4702:1 1710:1 5348:1 7004:1 6038:1 1754:1 2295:1 6490:3 1285:2 5157:1 138:1 1893:1 133:1 3554:3 3461:1 3975:1 6543:1 3670:1 3047:1 1101:3 6423:1 2012:1 4584:1 4570:1 5556:1 6202:3 6373:2 6523:1 6846:2 6501:1 1658:5 4608:1 6905:1 6336:8 3124:4 6593:2 139:3 1605:2 1655:2 3064:2 3718:1 6820:1 4568:3 3681:1 626:1 4280:1 357:8 4811:4 3123:12 6369:1 2324:1 5155:1 5154:1 3203:1 3092:1 2996:1 1967:1 347:1 5878:1 5031:1 3301:2 319:1 2159:1 1327:1 6855:1 2451:1 6481:1 3841:1 4244:1 700:3 3186:1 3070:1 4256:1 3131:1 2495:1 4932:1 1243:1 5780:2 2796:1 4954:1 3889:1 3184:1 4197:1 5089:1 179:1 1582:1 2911:2 368:1 4181:2 148:1 1045:1 4713:1 5117:1 1108:1 2528:1 3505:1 3583:1 742:1 605:1 4277:1 343:1 1581:1 424:1 6904:1 7138:1 6575:1 6517:1 212:1 2466:1 4485:1 2189:1 2833:1 246:1 7052:1 5695:1 4996:1 3235:1 4031:1 3546:1 6325:1 302:1 7154:2
