date,label,text_processed
2025-11-24 23:03:34,bbc,presid donald trump said agre visit beij april invit chines presid xi jinp state visit later next year follow phone call two leader trump xi met nearli month ago south korea discuss rang issu includ trade russia invas ukrain fentanyl taiwan accord presid china foreign ministri relationship china extrem strong trump wrote truth social post china state new agenc releas statement said countri keep momentum keep move forward right direct basi equal respect mutual benefit leader met busan south korea octob agre truce tariff us decid cut tariff half aim decreas flow fentanyl tariff remain chines good averag sinc chinau relationship gener maintain steadi posit trajectori welcom two countri broader intern commun chines statement said us pull back threat addit tariff chines good china delay plan introduc latest round rare earth export control white hous press secretari karolin leavitt said monday call xi last hour focus trade pleas weve seen chines feel way said addit discuss trade xi trump broach topic russia invas ukrain taiwan xi told trump taiwan return china essenti china vision postwar intern order china japan us alli longstand strateg ambigu sovereignti selfgovern taiwan earlier month japanes prime minist sana takaichi said chines attack taiwan could forc japanes militari respons trump howev mention taiwan truth social post call us ambassador japan georg glass previous said us back tokyo wake china coercion
2025-11-23 23:11:13,bbc,island hokkaido long agricultur powerhous japan invest billion turn global hub advanc semiconductor half japan dairi produc come hokkaido northernmost main island winter wonderland ski resort icesculptur festiv summer field bloom band lavend poppi sunflow day crane pop across island build factori research centr univers focus technolog part japan boldest industri push gener attempt reboot countri chipmak capabl reshap econom futur local say beyond cattl tourism hokkaido long lack industri there even say go leav govern succe turn hokkaido japan answer silicon valley hokkaido valley begun call countri could becom new contend bn bn race suppli world comput chip heart plan rapidu littleknown compani back govern japan biggest corpor includ toyota softbank soni born partnership ibm rais billion dollar build japan first cuttingedg chip foundri decad govern invest bn compani build massiv semiconductor factori fab small citi chitos select hokkaido locat rapidu ceo atsuyoshi koik point chitos water electr infrastructur natur beauti mr koik oversaw fab design complet cover grass harmonis hokkaido landscap told bbc local author also flag region lower risk earthquak compar potenti site japan key mileston rapidu came deliveri extrem ultraviolet lithographi euv system dutch compani asml hightech machineri help bring rapidu biggest accomplish yet earlier year success product prototyp two nanometr nm transistor ultrathin chip cut edg semiconductor technolog allow devic run faster effici feat rival chip maker tsmc samsung accomplish intel pursu nm leapfrog nm straight nm succeed manufactur nm prototyp first time japan unpreced speed japan global mr koik said credit ibm partnership help achiev breakthrough tieup global compani essenti acquir technolog need level chip ad rapidu confid track mass produc nm chip challeng achiev yield qualiti need surviv incred competit market area taiwan south korea pull ahead tsmc exampl achiev incred success mass product make highend chip costli technic demand report asean macroeconom research offic highlight although rapidu receiv govern subsidi consortium member contribut fund financ fall short expect trillion yen bn bn need start mass product center secur intern studi csi previous said rapidu experi manufactur advanc chip date indic abl access actual knowhow endeavour compani requisit experi ie tsmc samsung find custom may also challeng samsung tsmc establish relationship global compani buy chip year nevertheless japan govern pour money chip industri bn earli larger commit rel gross domest product gdp us made late tokyo unveil bn packag artifici intellig ai semiconductor could support rapiduss expans plan come decad declin forti year ago japan made half world semiconductor today produc mani point usjapan trade tension turn point naoyuki yoshino professor emeritu keio univers said japan lost technolog stake taiwan south korea leav domest compani weaker unlik rival japan fail sustain subsidi keep chipmak competit mr koik say mental chang nation govern local govern unit support industri reviv japan broader econom challeng also loom larg popul shrink number elderli citizen continu surg determin nation budget year contribut slow growth third budget goe social welfar elderli squeez money avail research educ technolog prof yoshino say japan also face sever shortag semiconductor engin estim peopl come year rapidu partner hokkaido univers other train new worker agre reli heavili foreign time public support worker come countri employ low govern push alreadi attract major global player tsmc produc nm chip kumamoto southwestern island kyushu signific step japan even lag behind compani cuttingedg product taiwan expans transform local economi attract supplier rais wage lead infrastructur servic develop japan broader chip reviv strategi appear follow playbook establish fab entir ecosystem tend follow tsmc start build second plant kyushu octob year due begin product end beyond rapidu tsmc local player like kioxia toshiba also get govern back kioxia expand fab yokkaichi kitakami state fund toshiba built one ishikawa meanwhil rohm offici design compani provid critic product tokyo econom secur framework american memori chipmak micron also receiv bn subsidi japanes govern grow facil hiroshima samsung build research develop facil yokohama hokkaido see similar momentum chipmak equip compani asml tokyo electron open offic chitos back rapidu build product facil make form global ecosystem mr koik say work togeth abl produc semiconductor contribut world mr koik said rapiduss key sell point would name suggest abil produc custom chip faster competitor rather compet directli player tsmc lead world intel samsung close behind edg speed produc deliv chip three four time faster anyon els speed give us edg global semiconductor race mr koik said global demand chip surg rise ai japan automak still recov pandemicera suppli shock press reliabl domest region sourc product across entir suppli chain raw materi finish chip secur control chip manufactur seen nation secur prioriti japan elsewher recent trade friction geopolit tension china taiwan rais concern around risk reli foreign supplier wed like provid product japan product power great new valu mr koik said japan govern invest rapidu highstak gambl reviv semiconductor industri broadli tech power analyst say may countri best chanc build domest ecosystem suppli advanc chip mani manufactur one day becom formid challeng global market
2025-12-05 04:56:16,bbc,taiwan say block access popular chines social media app rednot xiaohongshu one year follow concern onlin shop scam island crimin investig bureau said thursday detect fraud case app sinc last year total loss worth ntm local media report app tiktoklik platform builtin shop featur taiwan internet servic provid order block access app affect least three million domest user accord local report bbc contact xiaohongshu taiwanes author comment bbc check taiwan show platform longer access user instead app display messag state unavail due secur restrict said app ban spate fraud case fail meet data secur standard put user risk app oper local offic respond regul request submit plan improv cybersecur measur taipei time quot taiwan interior minist say xiaohongshu launch hundr million user worldwid especi popular asia app userbas grew year user america govern us taiwan temporari ban come concern grow beij use social media cultiv favour view china spread disinform eventu return chines control china rule use forc achiev goal xiaohongshu also face pressur chines regul said septemb call strict punish firm boss
2025-11-10 03:16:42,bbc,weaken typhoon fungwong pass south china sea expect head taiwan leav two peopl dead philippin million philippin preemptiv evacu fungwong made landfal sunday super typhoon carri wind kmh mph gust kmh mph hit aurora provinc luzon countri popul island local time gmt weaken typhoon hour later fungwong come day earlier storm kalmaegi left nearli peopl dead philippin author report less sever damag expect though number commun still cut flood daybreak wind typhoon fungwong howl night die peopl came see damag plenti damag build good prepar appear prevent repeat casualti seen kalmaegi hit central philippin last week countri meteorolog servic earlier warn destruct wind high risk lifethreaten storm surg intens typhoon hundr flight cancel build secur resid lowli coastal area urg move higher ground shelter central aurora parent brought young children young rememb typhoon haiyan kill peopl struck philippin felt worri strength typhoon young children think jessa zurbano earlier told bbc anoth evacue patri azul said hous made wood flimsi materi live close sea didnt feel safe wind fungwong brought strong previou storm destruct power quickli weaken made landfal two death report accord civil defenc offic one person drown anoth woman found dead debri catbalogan citi two other injur still mani neighbourhood flood isol rest countri road bridg cut high water level aurora offici told local media monday four town block power much main island luzon filipino govern declar state calam across countri prepar typhoon fungwong wake kalmaegi give govern agenc power access emerg fund fasttrack deliveri essenti good servic kalmaegi one strongest typhoon year left least peopl dead philippin miss five peopl also die vietnam strong wind uproot tree tore roof smash larg window philippin locat near area pacif ocean tropic weather system form one vulner countri world cyclon tropic cyclon form region everi year half affect countri directli climat chang thought increas number hurrican typhoon cyclon worldwid howev warmer ocean coupl warmer atmospher fuell climat chang potenti lead higher wind speed heavier rainfal greater risk coastal flood philippin
2025-12-01 08:17:32,bbc,abrupt cancel sever japanes music event shanghai one midway song spark critic among fan call move rude extrem maki otsuki halfway theme friday light music went rush stage two crew member saturday pop star ayumi hamasaki perform empti seat stadium organis axe concert shanghai cite forc majeur spate cancel come fester japanes prime minist sana takaichi remark taiwan respond question parliament last month takaichi known vocal critic china activ region suggest tokyo could take militari action beij attack taiwan beij view selfgovern taiwan part territori rule use forc reunit side sinc lodg protest rift also affect daili live countri otsuki manag attribut interrupt perform friday unavoid circumst perform cancel particular problem local staff kind help wrote separ statement monday declin interview matter perform part threeday music festiv shanghai subsequ event also call comprehens take consider variou factor accord japan kyodo news bbc reach japanes entertain compani bandai namco one organis festiv ask incid daili media confer monday spokesperson beij foreign ministri told report suggest chat chines organis otsuki fan made meme compar shut perform china former leader hu jintao communist parti meet octob meme went viral social media weekend say ms otsuki given hu jintao treatment social media accus chines author take away peopl freedom enjoy cultur attempt sanction japan what point turn spearhead toward citizen read x post written japanes dont care audienc chines right wrote user china xlike platform weibo georg glass unit state ambassador japan join convers onlin truli regrett peopl cant feel power music wrote x post also includ link journey dont stop believin makisan dont stop believinkeep hold convict wrote howev incid also fan nationalist sentiment chines social media ask event allow first place given diplomat row could event gone time whole nation angri japan weibo user wrote hamasaki shanghai part asia tour said suddenli ask friday cancel concert pop icon went ahead perform empti seat part appreci peopl compani chines staff larg japanes famili fought tour wrote instagram still strongli believ entertain bridg connect peopl want side creat bridg wrote two week ago chines state media announc releas least two popular japanes anim film amid diplomat row
2025-11-18 03:46:10,bbc,releas least two popular japanes film postpon china amid disput delay releas includ cell work crayon shinchan movi super hot spici kasukab dancer accord chines state media cctv cinema ticket still avail hit japanes anim demon slayer infin castl bbc confirm cctv said sale china fallen recent row deepen takaichi vocal critic china activ region suggest earlier month tokyo could take militari action beij attack taiwan beij view taiwan govern overthrown china communist revolut fled breakaway provinc must reunit mainland film distributor import decid postpon releas reassess overal outlook japanes film china sentiment among chines audienc crayon shinchan movi super hot spici kasukab dancer anim comedi adventur young boy friend due releas come week cell work also seen releas postpon live action movi base manga human blood cell fight virus cctv say long film releas delay statecontrol media outlet said demon slayer infin castl face strong dissatisfact among chines audienc follow takaichi remark bbc contact film distributor includ japanes media giant toho takaichi told japanes parliament novemb battleship use forc matter think could constitut survivalthreaten situat beij sinc urg citizen avoid travel japan told student reconsid studi cite safeti risk investor weigh impact china respons china key sourc tourism japan almost visitor first nine month year beij rule use forc achiev goal mani taiwanes consid part separ nation although support keep statu quo taiwan neither declar independ china unit
2025-11-17 06:32:19,bbc,japanes stock relat tourism retail fell monday tokyo beij remain lock row taiwan japan prime minist sana takaichi vocal critic china militari activ region suggest month tokyo could take militari action beij attack taiwan share japanes depart store hit hard parent compani mitsukoshi isetan chain plung almost wellknown brand like cosmet compani shiseido also fell sharpli china consist rank among top sourc tourist visit japan share depart store chain takashimaya owner global fashion chain uniqlo close lower carrier japan airlin ana hold also share orient land theme park compani run tokyo disney resort end day lower share price fall came disput beij tokyo deepen recent day sunday chines govern urg citizen reconsid studi japan cite risk safeti rise crime target chines peopl also told student alreadi base japan close monitor secur situat last year chines student enrol educ institut japan accord japanes govern survey also weekend chines airlin includ china southern airlin china eastern airlin air china offer refund flight japan takaichi said japanes parliament novemb battleship use forc matter think could constitut survivalthreaten situat survivalthreaten situat legal term japan secur law refer arm attack alli present existenti threat tokyo situat japan selfdef forc call upon respond threat taiwan lie km mile south closest japanes island kyodo news agenc poll publish sunday suggest japanes public split whether countri exercis right selfdef beij attack taiwan chines japanes offici expect hold talk tuesday chief cabinet secretari minoru kihara said beij move line broader direct confirm leader promot mutual benefici stabl relationship eventu part countri rule use forc achiev mani taiwanes consid part separ nation although favour maintain statu quo taiwan neither declar independ china unit
2025-12-02 07:26:10,bbc,china japan coast guard given differ account confront occur near group geopolit sensit island east china sea china coast guard said tuesday japanes fish vessel illeg enter water diaoyu island tokyo call senkaku island china claim territori despit island administ japan japan coast guard meanwhil said intercept expel two chines coast guard ship approach fish vessel confront come japan leader made controversi comment taiwan last month respond question parliament novemb japanes prime minist sana takaichi known vocal critic china activ region suggest tokyo could take militari action beij attack taiwan beij view selfgovern taiwan part territori rule use forc reunit side sinc engag increasingli hostil rhetor toward widen rift affect daili life citizen countri taiwan locat km southwest senkaku island china coast guard ccg spokesperson liu dejun said chines vessel tuesday approach warn japanes fish boat illeg enter territori water china diaoyu dao accord state media report liu ad ccg took necessari law enforc measur claim island chines territori urg japan immedi stop act infring provoc water japan coast guard jcg offer slightli differ account say approach chines vessel shortli seen enter japanes water earli hour tuesday issu demand leav water jcg patrol ship ensur fish boat safeti ccg left territori hour later said japan china made inprincipl agreement jointli exploit resourc east china sea waterway separ two countri tension escal past decadeandahalf senkakudiaoyu island uninhabit china sent increas number ship toward island appear attempt test japan resolv defend last year number day chines govern vessel spot territori hit record high third consecut year also record number ccg vessel oper water prior event tuesday morn ccg last enter water surround senkakudiaoyu island novemb conduct describ time law patrol oper conduct china coast guard uphold right interest
2025-11-18 09:54:37,bbc,china japan lock escal row set japanes prime minist sana takaichi suggest earlier month japan could respond selfdef forc china attack taiwan respons chines diplomat made comment interpret threat behead takaichi began war word gone beyond barb countri foreign ministri sinc lodg seriou protest japan also warn citizen stay safe china china urg citizen avoid travel japan chines airlin even offer refund flight japan releas two popular japanes film china also postpon spat touch histor animos china japan well longstand strateg ambigu sovereignti selfgovern taiwan here need know current tension spark parliamentari meet japan novemb opposit lawmak ask takaichi circumst surround taiwan would count survivalthreaten situat japan battleship use forc matter think could constitut survivalthreaten situat takaichi respond survivalthreaten situat legal term japan secur law refer arm attack alli pose existenti threat japan situat japan selfdef forc activ respond threat takaichi remark drew immedi ire beij china foreign ministri describ egregi follow day xue jian china consul gener japanes citi osaka reshar news articl takaichi parliamentari remark x also ad comment dirti head stick must cut intent xue remark may clear highli inappropri aid japan chief cabinet secretari minoru kihara tokyo lodg protest china xue remark beij lodg japan takaichi xue post sinc taken dust barb exchang hasnt settl yet takaichi declin retract remark defend consist govern tradit posit note howev would care comment specif scenario meanwhil china turn heat japan summon japanes ambassador repeatedli demand takaichi take back word social media china foreign ministri warn japan stop play fire ad would act aggress japan dare meddl crossstrait situat china urg citizen avoid travel japan near futur call blatantli provoc remark regard taiwan could deal blow japan tourism industri support million chines visitor everi year japan tourism retail stock part japanes author say posit support peac resolut issu taiwan chang also urg china take appropri action xue social media post week releas least distributor cite sentiment domest audienc chines state media report chines state media cctv ad cinema ticket sale hit japanes anim demon slayer infin castl also fallen recent longstand animos two countri trace back seri arm conflict japan brutal militari campaign china world war two brought chines defenc offici last week said japan would face crush defeat chines militari fail draw lesson histori dare take reckless risk histor grievanc may long sore spot bilater relat recent ascens takaichi protg late former prime minist shinzo abe suggest tension may lie ahead conserv leader pursu closer tie us pledg increas japan defenc spend rais alarm beij takaichi also famous hawkish china longtim support taiwan previous said blockad island could threaten japan japan could mobilis troop stop chines invas china especi touchi taiwan selfgovern island beij claim part territori china rule use forc take taiwan postur unsettl taipei alli region earlier month beij accus takaichi violat onechina principl post photo meet senior taiwanes offici sidelin apec summit south korea japanes prime minist recent comment mark departur equivoc posit countri tradit adopt statu taiwan line polici strateg ambigu us long maintain remain vagu would defend taiwan event chines invas decad ambigu kept china guess form deterr leav room econom tie flourish japanes govern offici stanc hope taiwan issu resolv peac dialogu japanes offici typic avoid mention taiwan public discuss secur occas met sharp rebuk beij deputi prime minist taro aso said japan would need defend taiwan alongsid us event invas beij condemn remark told japan correct mistak recent flareup china foreign ministri said takaichi remark gross interfer china intern affair taiwan china taiwan ministri spokesperson lin jian told press brief monday ad china would toler foreign interfer matter signal japanes leader tri send taiwan independ separatist forc ad japan challeng china core interest stop reunif
2025-11-26 07:30:38,bbc,detent pema wangjom thongdok indian citizen live uk shanghai airport fuell diplomat row delhi beij ms thongdok said detain immigr offici travel london japan via shanghai last friday passport list birthplac northeastern state arunach pradesh china disput india claim region consid arunach territori call south tibet claim india firmli reject tuesday india lodg protest ms thongdok detent reiter arunach integr inalien part india ms thongdok call experi humili contact indian embassi shanghai beij help releas detent hour indian offici arriv airport spoke author india foreign ministri spokesperson randhir jaiswal call ms thongdok detent arbitari said issu taken strongli china chines author still abl explain action violat sever convent govern intern air travel action also violat regul allow visa free transit hour nation countri said statement mr jaiswal statement came hour china foreign ministri spokesperson mao ning said china border inspect author carri check accord law regul law enforc imparti nonabus law right individu ms thongdok fulli protect compulsori measur taken socal detain harass told india pti news agenc ad airlin china eastern provid ms thongdok rest facil meal insist arunach china territori chines side never recognis socal arunach pradesh illeg set india said state fall along km mile defacto border himalaya call line actual control sourc tension asian neighbour decad china say consid whole arunach pradesh territori india claim aksai chin plateau himalaya control china troop countri arunach pradesh fight took place even india china work reestablish tie clash galwan valley ladakh region led complet breakdown tie past year india china taken big step toward normalis relat includ agre patrol arrang deescal border tension august chines foreign minist wang yi delhi twoday trip said neighbour ms thongdok detent amidst friendli overtur rais eyebrow india made nation headlin ani news agenc live uk year travel shanghai sever time earlier without face issu howev time immigr offici airport singl queue told passport invalid said tri question ask issu said arunach part india start mock laugh say thing like appli chines passport your chines your indian ad
