主题编号,排名,词汇,权重,词ID
1,1,日本,2191.9841,31688
1,2,台湾,2152.9622,14583
1,3,中国,1267.4791,2990
1,4,视频,1241.1188,50729
1,5,微博,1216.035,25391
1,6,历史,1124.2772,13221
1,7,高市,944.9149,59613
1,8,早苗,706.9789,31881
1,9,地位,451.98486,17408
1,10,国际,450.6881,17120
1,11,旧金山,444.23767,31836
1,12,和约,429.36227,15850
1,13,回来,395.21948,16688
1,14,文件,330.30414,30657
1,15,计划,327.96353,50958
1,16,宣称,320.06427,21328
1,17,热点,292.646,39395
1,18,正文,284.44864,35487
1,19,国家,258.53046,16974
1,20,南京大屠杀,251.86916,12785
2,1,日本,18939.842,31688
2,2,中国,12434.617,2990
2,3,高市,6806.421,59613
2,4,台湾,5314.8,14583
2,5,国际,3885.0537,17120
2,6,言论,3780.6724,50847
2,7,早苗,3774.9026,31881
2,8,历史,2866.2458,13221
2,9,日方,2521.3062,31676
2,10,中方,2321.1003,3221
2,11,错误,2275.7695,56551
2,12,政治,2266.3442,30184
2,13,和平,2218.7498,15820
2,14,国家,2130.6519,16974
2,15,美国,2034.3898,46679
2,16,中日,1929.2003,3223
2,17,立场,1776.4773,44260
2,18,原则,1677.7008,13340
2,19,危机,1588.7455,13142
2,20,有事,1564.6777,33043
3,1,朱重华,369.9582,33647
3,2,日本,356.12845,31688
3,3,部队,354.30362,55641
3,4,年月日,298.0646,23772
3,5,比赛,289.4591,36025
3,6,中国,254.65155,2990
3,7,韩国,225.51491,58427
3,8,男篮,200.43799,41468
3,9,中国男篮,198.79083,3054
3,10,老人,186.51549,46977
3,11,重华,181.80553,55886
3,12,日军,175.82799,31607
3,13,遗址,166.80374,55290
3,14,抗战,155.57399,28069
3,15,世界杯,153.74945,2283
3,16,水下,142.05875,36312
3,17,发现,129.51392,13909
3,18,队伍,126.5607,57012
3,19,参加,126.40809,13505
3,20,长春,123.83854,56678
4,1,中国,3465.7527,2990
4,2,发展,1605.9023,13853
4,3,全球,1596.9336,8653
4,4,亲子鉴定,1437.8219,5231
4,5,北京,1153.559,12032
4,6,机构,1125.0055,33702
4,7,美国,1121.8293,46679
4,8,中心,1011.0315,3184
4,9,市场,1006.4087,23219
4,10,企业,994.32855,6293
4,11,合作,938.9482,14906
4,12,文化,935.4011,30668
4,13,技术,861.2904,27898
4,14,创新,816.1029,10901
4,15,持续,796.60504,28686
4,16,北京市,773.2994,12049
4,17,鉴定,737.3201,56213
4,18,科技,728.14154,43761
4,19,提供,727.9359,29391
4,20,服务,707.5012,33269
