周次,文档索引,日期,标签,主要主题,主题概率,主题0概率,主题1概率,主题2概率,主题3概率,主题4概率,主题5概率,主题6概率,主题7概率
1,4749,2025-11-11 14:50:51,people,1,0.9955777,0.0022001497,0.9955777,0.0022222043,,,,,
1,4751,2025-11-11 14:51:03,people,1,0.9942468,0.0028403294,0.9942468,0.002912968,,,,,
1,4753,2025-11-13 08:30:30,people,1,0.9955228,0.0022148318,0.9955228,0.0022624081,,,,,
1,4755,2025-11-13 10:51:29,people,1,0.9951688,0.0023891064,0.9951688,0.0024421304,,,,,
1,4758,2025-11-07 14:05:58,people,1,0.9958686,0.0020513071,0.9958686,0.002080076,,,,,
1,4759,2025-11-07 16:15:42,people,1,0.9973968,0.0012924077,0.9973968,0.0013107121,,,,,
1,4760,2025-11-13 08:41:01,people,1,0.9948062,0.0025731148,0.9948062,0.002620715,,,,,
1,4761,2025-11-07 16:19:49,people,1,0.99685574,0.0015619567,0.99685574,0.0015823309,,,,,
1,4762,2025-11-11 08:39:25,people,1,0.99605596,0.0019557425,0.99605596,0.001988334,,,,,
1,4763,2025-11-10 08:28:53,people,1,0.995876,0.0020514948,0.995876,0.0020724623,,,,,
1,4764,2025-11-10 08:32:37,people,1,0.994742,0.0025973495,0.994742,0.00266073,,,,,
1,4765,2025-11-11 08:45:01,people,1,0.99629503,0.0018373922,0.99629503,0.0018676182,,,,,
1,4766,2025-11-13 17:14:16,people,1,0.9973256,0.0013257478,0.9973256,0.0013486687,,,,,
1,4767,2025-11-07 08:57:12,people,1,0.99488866,0.0025349173,0.99488866,0.002576501,,,,,
1,4768,2025-11-07 13:55:48,people,1,0.9944221,0.0027658313,0.9944221,0.002812063,,,,,
1,4806,2025-11-11 17:44:22,people,1,0.9962511,0.0017768795,0.9962511,0.001972035,,,,,
1,4807,2025-11-12 11:19:55,people,1,0.9955467,0.0022069016,0.9955467,0.0022463761,,,,,
1,4809,2025-11-12 13:10:07,people,1,0.99391055,0.0030187755,0.99391055,0.0030705961,,,,,
1,4840,2025-11-07 08:00:08,people,1,0.9987261,0.00062282546,0.9987261,0.0006511129,,,,,
1,4841,2025-11-07 08:42:12,people,1,0.9982933,0.0008370556,0.9982933,0.0008696257,,,,,
1,4842,2025-11-07 09:00:57,people,1,0.99828726,0.0008076969,0.99828726,0.00090510177,,,,,
