week,topic,keywords,weights
1,0,56391 1355 32183 20851 19152 18224 12915 2475 3219 43268,7.6370 7.5751 5.7840 5.7821 4.8758 4.8460 4.2124 3.9603 3.1646 3.0692
1,1,2990 13853 31688 41349 30668 1350 13221 8653 6293 46679,473.7647 154.6556 129.4922 109.0992 105.4217 103.2886 100.2539 95.2114 92.6799 91.8549
1,2,46679 9127 37734 28706 23609 6293 56303 26837 31688 30219,94.5644 65.6252 59.8699 51.5959 38.9512 35.1089 31.6848 29.4717 28.6052 28.1440
2,0,2990 14583 12634 30184 30668 22891 30219 12216 7019 8864,0.1623 0.1557 0.1514 0.1460 0.1453 0.1453 0.1451 0.1450 0.1449 0.1441
2,1,31688 2990 59613 14583 50847 17120 31881 16974 13142 33043,1690.3687 1074.3149 900.4300 772.9530 510.3009 323.6893 300.4236 256.0170 249.2250 248.6579
2,2,8653 2990 37439 13853 23219 43761 12634 21765 28030 16974,0.1665 0.1618 0.1600 0.1596 0.1577 0.1557 0.1552 0.1552 0.1548 0.1547
2,3,5605 15100 18083 2990 12634 54398 31688 16974 14906 13853,0.2996 0.2463 0.2283 0.2180 0.2125 0.2114 0.1788 0.1763 0.1614 0.1611
2,4,2990 53891 56642 14583 30668 43761 46679 2613 13853 19171,0.1765 0.1691 0.1683 0.1677 0.1661 0.1568 0.1566 0.1549 0.1537 0.1529
2,5,21852 14188 4627 37734 52239 33689 46648 37740 55039 42116,8.6522 7.2393 6.9352 5.8061 5.1804 5.1534 4.6691 4.0894 3.9831 3.7279
2,6,30284 58935 25743 10494 58955 46652 44089 33901 40459 27160,17.7490 16.4871 16.0378 14.8992 13.1720 10.9925 10.9283 9.7864 9.2181 8.6541
2,7,2990 39239 5468 13853 14583 17120 45931 13944 8653 23219,0.1694 0.1691 0.1621 0.1601 0.1601 0.1574 0.1569 0.1569 0.1560 0.1558
3,0,59873 48448 43561 38880 36312 30283 13769 28599 13849 59374,38.6988 13.0266 8.9501 6.7082 6.0247 5.2229 4.4084 4.3613 4.0472 3.5500
3,1,32432 45168 19986 57627 21414 51112 11270 10298 41882 53016,1.8392 1.8155 1.8045 1.7894 0.9819 0.9818 0.9818 0.9817 0.9817 0.9816
3,2,31688 59613 31881 14583 2990 33043 46679 14578 50847 44260,0.1478 0.1388 0.1360 0.1355 0.1323 0.1318 0.1304 0.1300 0.1295 0.1293
3,3,31688 2990 33043 59613 14583 31881 50847 46679 44260 31676,0.1582 0.1382 0.1381 0.1368 0.1361 0.1330 0.1327 0.1310 0.1310 0.1304
3,4,59613 31688 31881 2990 46679 14583 33043 50847 9128 59143,0.1358 0.1332 0.1315 0.1301 0.1296 0.1295 0.1289 0.1284 0.1281 0.1280
3,5,31688 2990 59613 14583 31881 17120 50847 16974 13853 33043,2805.2056 2233.4812 1435.3666 1219.0193 880.0059 862.7566 679.9761 639.5494 622.3136 517.6325
3,6,43624 48677 14640 16345 38525 24482 51650 31880 34152 43182,2.6652 1.8385 1.8382 1.3974 0.9809 0.9809 0.9808 0.9806 0.9805 0.9805
3,7,14602 50882 7147 56054 44264 13146 36764 56106 52037 30122,26.8768 16.5980 15.8124 13.1646 13.0486 12.2574 9.6363 9.2811 8.8393 8.8216
4,0,25391 35487 42766 52953 47157 29175 50729 30987 33655 57688,316.9443 295.0820 56.2504 54.0208 45.4358 44.7227 35.7060 33.4659 33.1455 30.6810
4,1,2990 31688 46679 45931 8653 16974 13853 23219 17120 2268,4553.0747 2905.2969 2325.8582 937.1937 913.0638 912.1436 870.7637 825.2145 638.3005 554.3155
4,2,33647 55641 23772 55886 46977 28069 31607 31688 56679 29143,394.1458 362.3224 224.1792 193.6215 193.5131 184.1542 147.1213 126.1436 119.1981 119.1981
4,3,12228 25463 40961 26331 15160 8899 12214 8918 2945 40858,94.3260 89.0277 58.2206 46.4187 39.1938 38.3173 29.3352 28.1596 24.4302 21.7580
4,4,58427 36025 41468 3054 31688 2283 3083 2990 32417 3014,270.6284 264.1769 208.1414 201.8969 161.4160 160.5993 126.4984 110.6163 101.2707 94.2844
4,5,31688 2990 14583 59613 13221 31881 17120 50847 31676 56551,13419.3105 8363.6914 5867.6978 5236.9111 3473.4417 3300.1265 3284.5767 2323.7124 1945.0986 1842.7701
4,6,5231 33702 12032 12049 56213 17431 3184 55818 12237 12193,1478.2361 893.0829 859.6082 769.9321 757.0995 665.4599 600.5380 383.2761 379.9278 377.3588
4,7,51556 30668 13221 12785 30233 43009 6594 31544 23861 60313,388.4705 333.2766 203.2138 161.4093 157.2924 144.6389 143.3960 134.9833 126.9120 123.9300
